"year","markettype","marketname_location_host","marketoperator","streetnumber","streetdirection","streetname","streettype","mergedaddress","marketdirection","website","day","open","close","months","numberofvendors"
"2014","Community Food Market","Culloden Court","Cedar Cottage Food Network","1375","E","47th","Av","1375 E 47th Av, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","3rd Saturday of month","2pm","4pm","Ongoing","2-3 Tables"
"2013","Community Food Market","Orchard Park Mobile Market and Tasting Kitchen","Cedar Cottage Food Network","5988",NA,"Nanaimo","St","5988  Nanaimo St, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","2nd Saturday of month","2pm","4pm","May-December","1"
"2013","Community Food Market","Cedar Cottage Neighbourhood House Mobile Market","Cedar Cottage Food Network","4065",NA,"Victoria","Dr","4065 Victoria Drive, Vancouver BC","Victoria at 25th Ave","http://cedarcottagefoodnetwork.wordpress.com/","2nd Saturday of month","10am","12pm","May-December","1"
"2013","Farmers Market","Shangri-La Farmers Market","Market by Jean-Georges","1128","W","Georgia","St","1128 W Georgia St, Vancouver BC",NA,"http://www.marketbyjgvancouver.com/","Every Second Sunday","11am","3pm","May - September",NA
"2016","Farmers Market","Main St Station Farmers Market","Vancouver Farmers Markets","1100",NA,"Station","St","1100 Station St","Next to Thorton Park","http://eatlocal.org","Wednesday","2pm","6pm","Jun - Oct","28"
"2015","Farmers Market","Oak Street Farmers Market","Unitarian Church",NA,NA,NA,NA,NA,NA,NA,"Wednesday","3pm","7pm","Jun - Oct",NA
"2014","Community Food Market","South Granville Senior Centre","Westside Mobile Food Market","1420","W","12th","Av","1420 W 12th Av, Vancouver BC","1420 & 1440 W 12th Ave, at Hemlock;","http://www.plantednetwork.ca/project.aspx?asset=37","Thursday","11am","1pm","July-September","1"
"2014","Community Food Market","Skeena Terrace","Greater Vancouver Food Bank (Curbside Fresh)","2202",NA,"Cassiar","St","2202 Cassiar St, Vancouver BC","Parking lot",NA,NA,NA,NA,NA,NA
"2013","Farmers Market","Main St Station Farmers Market","Vancouver Farmers Markets","1100",NA,"Station","St","1100  Station St, Vancouver BC","Next to Thorton Park","http://eatlocal.org","Wednesday","3pm","7pm","June-October","30"
"2016","Farmers Market","Trout Lake Farmers Market","Vancouver Farmers Markets",NA,NA,NA,NA,NA,"Lakewood Dr & E 13th Ave","http://eatlocal.org","Saturday","9am","2pm","May - Oct","61"
"2015","Farmers Market","Kerrisdale Village Farmers Market","Vancouver Farmers Markets","5500","E","East Blvd","Blvd","5500 East Blvd","5500 Block of East Blvd","http://eatlocal.org","Saturday","10am","2pm","Jun - Oct","16"
"2015","Farmers Market","Yaletown Farmers Market","Vancouver Farmers Markets","1100",NA,"Mainland","St","1100 Mainland St","Between Davie and Helmecken","http://eatlocal.org","Thursday","2pm","6pm","May - Oct","33"
"2015","Community Food Market","Collingwood Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Thursday","2:00pm","6:00pm",NA,NA
"2014","Community Food Market","Grandview Park","Eat it Forward Market",NA,NA,NA,NA,"Grandview Park",NA,NA,NA,NA,NA,NA,NA
"2013","Farmers Market","Kitsilano Farmers Market","Vancouver Farmers Markets","2690",NA,"Larch","St","2690  Larch St, Vancouver BC","Parking lot of Kits Community Centre","http://eatlocal.org","Sunday","10am","2pm","May-October","53"
"2013","Farmers Market","Winter Farmers Market","Vancouver Farmers Markets","4580",NA,"Ontario","St","4580  Ontario St, Vancouver BC","Parking lot of Nat Bailey Stadium","http://eatlocal.org","Saturday","10am","2pm","November-April",NA
"2016","Community Food Market","Gordon Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Tuesday","3pm","6pm","May 3 - Oct. 25",NA
"2015","Farmers Market","Trout Lake Farmers Market","Vancouver Farmers Markets",NA,NA,NA,NA,NA,"Lakewood Dr & E 13th Ave","http://eatlocal.org","Saturday","9am","2pm","May - Oct","61"
"2015","Community Food Market","Skeena Terrace","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Mondays","2pm","6pm",NA,NA
"2014","Farmers Market","Winter Farmers Market","Vancouver Farmers Markets","4580",NA,"Ontario","St","4580  Ontario St, Vancouver BC","Parking lot of Nat Bailey Stadium","http://eatlocal.org","Saturday","10am","2pm","November-April",NA
"2014","Community Food Market","Orchard Park","Cedar Cottage Food Network","5988",NA,"Nanaimo","St","5988  Nanaimo St, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","2nd Saturday of month","2pm","4pm","Ongoing","2-3 Tables"
"2014","Community Food Market","Marpole Neighbourhood House","Westside Mobile Food Market","1305","W","70th","Av","8680 Hudson Street","St Augustine's Church","http://www.plantednetwork.ca/project.aspx?asset=37","Thursday","2pm","4pm","July-September","1"
"2014","Community Food Market","Kensington Community Centre","Cedar Cottage Food Network","5175",NA,"Dumfries","St","5175 Dumfries St, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/",NA,NA,NA,NA,NA
"2014","Community Food Market","Collingwood Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)","5288",NA,"Joyce","St","5288 Joyce St, Vancouver BC","North side of neigh house",NA,NA,NA,NA,NA,NA
"2013","Community Food Market","Culloden Court Mobile Market and Tasting Kitchen","Cedar Cottage Food Network","1375","E","47th","Av","1375 E 47th Av, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","3rd Saturday of month","2pm","4pm","May-December","1"
"2013","Farmers Market","Oak Street Farmers Market","Unitarian Church","494","W","49th","Av","494 W 49th Av, Vancouver BC","Parking lot of Unitarian Church","http://oakstreetmarket.ca","Wednesday","3pm","7pm","June-January","15-25"
"2016","Farmers Market","River District Farmers Market","River District","8683",NA,"Kerr","St","8683 Kerr St","Kerr Street, near the pier","http://www.riverdistrict.ca","Saturday","10am","3pm","May - Oct","77"
"2015","Farmers Market","Kitsilano Farmers Market","Vancouver Farmers Markets","2690",NA,"Larch","St","2690 Larch St","Parking lot of Kits Community Centre","http://eatlocal.org","Sunday","10am","2pm","May - Oct","51"
"2015","Farmers Market","Main St Station Farmers Market","Vancouver Farmers Markets","1100",NA,"Station","St","1100 Station St","Next to Thorton Park","http://eatlocal.org","Wednesday","2pm","6pm","Jun - Oct","28"
"2015","Community Food Market","Mt Pleasant Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Wednesday","2:00pm","6:00pm",NA,NA
"2015","Community Food Market","Mt Pleasant Community Centre","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Friday","2:00pm","6:00pm",NA,NA
"2015","Community Food Market","South Granville Senior's Centre","Greater Vancouver Food Bank (Curbside Fresh)","1420","W","12th","Ave","1420 W. 12th, Ave, Vancouver, BC","Granville / Hemlock and 12th",NA,NA,NA,NA,NA,NA
"2015","Community Food Market","South Vancouver Neighbourhood House","Cedar Cottage Food Network",NA,NA,NA,NA,"49th and Victoria",NA,NA,NA,NA,NA,NA,NA
"2014","Community Food Market","Brant Villa","Cedar Cottage Food Network","2290","E","25th","Av","2290 E 2th Av, Vancouver BC","Victoria at 25th Ave","http://cedarcottagefoodnetwork.wordpress.com/","1st and 3rd Saturday of month","10:30am","12:30pm","Ongoing","2-3 Tables"
"2013","Community Food Market","South Granville Senior Centre (SGSC) Market","Westside Mobile Food Market","1420","W","12th","Av","1420 W 12th Av, Vancouver BC","1420 & 1440 W 12th Ave, at Hemlock;","http://www.plantednetwork.ca/project.aspx?asset=37","Thursday","11am","1pm","July-September","1"
"2016","Farmers Market","Winter Farmers Market","Vancouver Farmers Markets","4601",NA,"Ontario","St","4601 Ontario St","Parking lot of Nat Bailey Stadium","http://eatlocal.org","Saturday","10am","2pm","Nov - Apr","77"
"2015","Farmers Market","Hastings Park","Vancouver Farmers Markets",NA,NA,"Renfrew","St","Renfrew St","Hastings Skatepark","http://eatlocal.org","Sunday","10am","2pm","Mar- Apr","33"
"2015","Farmers Market","Holiday Market","Vancouver Farmers Markets","3250",NA,"Commercial","Dr","3250 Commercial Dr",NA,"http://eatlocal.org","Saturday","10am","4pm","20151212","70"
"2015","Community Food Market","St Augustine’s Anglican Church","Green Zebra Urban Market","8680",NA,"Hudson","Street",NA,NA,"http://www.greenzebramarkets.com/","Wednesday","3:00pm","7:00pm",NA,"2-3 Tables"
"2015","Community Food Market","Kensington Community Centre","Cedar Cottage Food Network",NA,NA,NA,NA,"5175 Dumfries Street",NA,NA,NA,NA,NA,NA,"2-3 Tables"
"2015","Community Food Market","Orchard Park","Cedar Cottage Food Network","5988",NA,"Nanaimo","St","5988  Nanaimo St, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","2nd Saturday of month","2pm","4pm","Ongoing",NA
"2014","Farmers Market","Mount Pleasant Market","Vancouver Farmers Markets","2300",NA,"Guelph","St","2300 Guelph St, Vancouver BC","Mount Pleasant School","http://eatlocal.org","Sundays","10am","12pm","June-October",NA
"2013","Farmers Market","River District Farmers Market","River District Vancouver","8683",NA,"Kerr","St","8683  Kerr St, Vancouver BC","Kerr Street, near the pier","http://www.riverdistrict.ca","Saturday","10am","3pm","May-October",NA
"2016","Farmers Market","QE Theatre Farmers Market","Vancouver Farmers Markets",NA,NA,NA,NA,NA,NA,"http://eatlocal.org","Thursday","2pm","6pm","May - Oct","33"
"2016","Farmers Market","West End Farmers Market","Vancouver Farmers Markets","1100",NA,"Comox","St","1100 Comox St","Adjacent to 1100 Block of Comox Street","http://eatlocal.org","Saturday","9am","2pm","May - Oct","33"
"2015","Farmers Market","West End Farmers Market","Vancouver Farmers Markets","1100",NA,"Comox","St","1100 Comox St","Adjacent to 1100 Block of Comox Street","http://eatlocal.org","Saturday","9am","2pm","May - Oct","33"
"2015","Community Food Market","Gordon Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Tuesdays","1:30pm","5:30pm",NA,NA
"2015","Community Food Market","Brant Villa","Cedar Cottage Food Network","2290","E","25th","Av","2290 E 2th Av, Vancouver BC","Victoria at 25th Ave","http://cedarcottagefoodnetwork.wordpress.com/","1st and 3rd Saturday of month","10:30am","12:30pm","Ongoing","2-3 Tables"
"2015","Community Food Market","Cedar Cottage Neighbourhood House","Cedar Cottage Food Network","4065",NA,"Victoria","Dr","4065 Victoria Dr, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","2nd and 4th Saturday","10am","12pm","Ongoing",NA
"2015","Community Food Market","Potluck Café","DTES Kitchen Tables Project",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014","Farmers Market","Kitsilano Farmers Market","Vancouver Farmers Markets","2690",NA,"Larch","St","2690  Larch St, Vancouver BC","Parking lot of Kits Community Centre","http://eatlocal.org","Sunday","10am","2pm","May-October","53"
"2013","Community Food Market","Brant Villa Mobile Market","Cedar Cottage Food Network","2290","E","25th","Av","2290 E 25th Av, Vancouver BC",NA,"http://cedarcottagefoodnetwork.wordpress.com/","3rd Saturday of month","10am","12pm","May-December","1"
"2013","Farmers Market","Trout Lake Farmers Market","Vancouver Farmers Markets","3092",NA,"Garden","Drive","3092  Garden Drive, Vancouver BC","North Parking Lot of John Hendry Park","http://eatlocal.org","Saturday","9am","2pm","May-October","57"
"2013","Farmers Market","West End Farmers Market","Vancouver Farmers Markets","1164",NA,"Comox","St","1164  Comox St, Vancouver BC","Adjacent to 1100 Block of Comox Street","http://eatlocal.org","Saturday","9am","2pm","June-October","35"
"2013","Farmers Market","Yaletown Farmers Market","Vancouver Farmers Markets","1100",NA,"Mainland","St","1100  Mainland St, Vancouver BC","Between Davie and Helmecken","http://eatlocal.org","Thursday","2pm","6pm","Mid-August to September",NA
"2013","Farmers Market","Mount Pleasant","Vancouver Farmers Markets","2300",NA,"Guelph","St","2300 Guelph St, Vancouver BC","Mount Pleasant School","http://eatlocal.org","Sundays","10am","12pm","June-October",NA
"2013","Community Food Market","Marpole Place Neighbourhood House Market","Westside Mobile Food Market","1305","W","70th","Av","1305 W 70th Av, Vancouver BC","The Old Firehall at Hudson St.","http://www.plantednetwork.ca/project.aspx?asset=37","Thursday","2pm","4pm","July-September","1"
"2016","Community Food Market","Mt Pleasant Community Centre","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Friday","3pm","6pm","May-October",NA
"2016","Community Food Market","South Granville Senior's Centre","Greater Vancouver Food Bank (Curbside Fresh)","1420","W","12th","Ave","1420 W. 12th, Ave, Vancouver, BC","Granville / Hemlock and 12th",NA,"Wednesday","11am","2pm","May 4-Oct. 26",NA
"2016","Farmers Market","Mount Pleasant Market","Vancouver Farmers Markets","2300",NA,"Guelph","St","2300 Guelph St","Mount Pleasant School","http://eatlocal.org","Sunday","10am","2pm","Jun - Oct","25"
"2015","Farmers Market","Winter Farmers Market","Vancouver Farmers Markets","4601",NA,"Ontario","St","4601 Ontario St","Parking lot of Nat Bailey Stadium","http://eatlocal.org","Saturday","10am","2pm","Nov - Apr","77"
"2015","Community Food Market","Kitsilano Neighbourhood House","Westside Community Food Markets","2305","W","7","Av","2305 West 7th","Corner of West 7th Ave & Vine Street","http://www.kitshouse.org/programs/community-programs/westside-community-food-markets/","Thursday","3pm","7pm","Jul - Sep",NA
"2014","Farmers Market","Yaletown Farmers Market","Vancouver Farmers Markets","1100",NA,"Mainland","St","1100  Mainland St, Vancouver BC","Between Davie and Helmecken","http://eatlocal.org","Thursday","2pm","6pm","Mid-August to September",NA
"2014","Farmers Market","Hastings Park Market","Vancouver Farmers Markets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014","Community Food Market","Gordon Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)","1019",NA,"Broughton","St","1019 Broughton",NA,NA,NA,NA,NA,NA,NA
"2013","Community Food Market","Westside Community Food Market","Kitsilano Neighbourhood House & Society Promoting Environmental Conservation","2403","W","8th","Av","2403 W 8th Av, Vancouver BC",NA,"http://www.spec.bc.ca/westside-community-food-market","Thursday","4pm","7pm","July-September","5 to 10"
"2013","Farmers Market","Kerrisdale Village Farmers Market","Vancouver Farmers Markets","5300",NA,"East","Boulevard","5300  East Boulevard, Vancouver BC","5300 Block of East Boulevard","http://eatlocal.org","Saturday","10am","2pm","June-October","30"
"2016","Community Food Market","Kitsilano Neighbourhood House","Westside Community Food Markets","2305","W","7","Av","2305 West 7th","Corner of West 7th Ave & Vine Street","http://www.kitshouse.org/programs/community-programs/westside-community-food-markets/",NA,NA,NA,NA,NA
"2016","Community Food Market","Marpole, St. Augustine's Church","Green Zebra Market","8680",NA,"Hudson","St","8680 Hudson St","St. Augustine's Church","http://greenzebramarkets.blogspot.ca","Wednesday","3pm","7pm",NA,NA
"2015","Community Food Market","DTES Neighbourhood House","DTES Kitchen Tables Project",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014","Farmers Market","Main St Station Farmers Market","Vancouver Farmers Markets","1100",NA,"Station","St","1100  Station St, Vancouver BC","Next to Thorton Park","http://eatlocal.org","Wednesday","3pm","7pm","June-October","30"
"2014","Farmers Market","Trout Lake Farmers Market","Vancouver Farmers Markets","3092",NA,"Garden","Drive","3092  Garden Drive, Vancouver BC","North Parking Lot of John Hendry Park","http://eatlocal.org","Saturday","9am","2pm","May-October","57"
"2014","Community Food Market","Mount Pleasnat Nieghbourhood House","Greater Vancouver Food Bank (Curbside Fresh)","800","E","Broadway","Av","800 East Broadway",NA,NA,NA,NA,NA,NA,NA
"2016","Community Food Market","Mt Pleasant Neighbourhood House","Greater Vancouver Food Bank (Curbside Fresh)",NA,NA,NA,NA,NA,NA,NA,"Wednesday","3pm","6pm","May 4-Oct. 26",NA
"2016","Farmers Market","Kitsilano Farmers Market","Vancouver Farmers Markets","2690",NA,"Larch","St","2690 Larch St","Parking lot of Kits Community Centre","http://eatlocal.org","Sunday","10am","2pm","May - Oct","51"
"2016","Community Food Market","Alternates between 4 locations","Cedar Cottage",NA,NA,NA,NA,NA,NA,"http://cedarcottagefoodnetwork.wordpress.com/","Saturday","2pm","4pm",NA,NA
"2015","Farmers Market","Mount Pleasant Market","Vancouver Farmers Markets","2300",NA,"Guelph","St","2300 Guelph St","Mount Pleasant School","http://eatlocal.org","Sunday","10am","2pm","Jun - Oct","25"
"2015","Farmers Market","Italian Market","Italian Cultural Centre",NA,NA,NA,NA,"3075 Slocan St",NA,NA,"Third Friday of Every month","3pm","7pm","May- Nov",NA
"2014","Farmers Market","Kerrisdale Village Farmers Market","Vancouver Farmers Markets","5300",NA,"East","Boulevard","5300  East Boulevard, Vancouver BC","East Boulevard 5300  East Boulevard, Vancouver BC, Vancouver BC","http://eatlocal.org","Saturday","10am","2pm","June-October","30"
"2014","Farmers Market","River District Farmers Market","River District Vancouver","8683",NA,"Kerr","St","8683  Kerr St, Vancouver BC","Kerr Street, near the pier","http://www.riverdistrict.ca","Saturday","10am","3pm","May-October",NA
"2014","Community Food Market","Mount Pleasant Community Centre","Greater Vancouver Food Bank (Curbside Fresh)","1",NA,"Kingsway",NA,"1 Kingsway",NA,NA,NA,NA,NA,NA,NA
