"TYPE","YEAR","MONTH","DAY","HOUR","MINUTE","HUNDRED_BLOCK","NEIGHBOURHOOD","X","Y"
"Vehicle Collision or Pedestrian Struck (with Fatality)",2003,12,31,0,0,"E 59TH AVE / FRASER ST","Sunset",493373,5451530
"Homicide",2004,1,6,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Offence Against a Person",2004,2,13,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Break and Enter Commercial",2004,2,20,22,0,"11XX E PENDER ST","Strathcona",494113.028,5458586.536
"Other Theft",2004,3,13,1,0,"9XX GRANVILLE ST","Central Business District",491132.8935,5458581.8434
"Offence Against a Person",2004,4,1,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Theft of Vehicle",2004,4,5,5,15,"53XX ARGYLE ST","Kensington-Cedar Cottage",494806.8167,5453728.2456
"Theft from Vehicle",2004,4,14,15,0,"7XX RICHARDS ST","Central Business District",491506.1,5458674.3113
"Theft from Vehicle",2004,4,15,18,0,"5XX E 15TH AVE","Mount Pleasant",493200.2306,5456069.3562
"Theft from Vehicle",2004,4,16,17,30,"5XX HORNBY ST","Central Business District",491449.6765,5459186.2905
"Homicide",2004,4,28,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Theft of Vehicle",2004,5,6,22,0,"16XX BEACH AVE","West End",489679.4415,5458940.0624
"Theft of Vehicle",2004,5,8,10,0,"4XX E 17TH AVE","Riley Park",492986.8618,5455870.3039
"Break and Enter Residential/Other",2004,5,12,13,24,"45XX W 15TH AVE","West Point Grey",484705.0551,5456298.7053
"Theft of Vehicle",2004,5,28,1,30,"13XX W 4TH AVE","Fairview",490174.6495,5457110.6718
"Vehicle Collision or Pedestrian Struck (with Fatality)",2004,5,28,23,25,"87XX BLOCK HUDSON ST","Marpole",490215,5450403
"Theft of Vehicle",2004,6,3,17,0,"13XX BROUGHTON ST","West End",490007.3972,5458916.4769
"Other Theft",2004,6,13,4,0,"7XX NELSON ST","Central Business District",491044.0745,5458507.3886
"Break and Enter Commercial",2004,6,17,19,0,"14XX CARTWRIGHT ST","Fairview",490145.2432,5457518.0383
"Theft from Vehicle",2004,6,17,9,0,"10XX HARO ST","West End",490907.0265,5458966.1238
"Vehicle Collision or Pedestrian Struck (with Fatality)",2004,7,8,0,15,"14XX BLOCK SW MARINE DR","Marpole",489834,5450195
"Break and Enter Residential/Other",2004,7,23,1,0,"36XX W 11TH AVE","Kitsilano",486516.6359,5456662.6503
"Theft from Vehicle",2004,8,7,0,0,"1XX ALEXANDER ST","Central Business District",492580.9132,5459007.4397
"Mischief",2004,8,12,21,0,"26XX VENABLES ST","Hastings-Sunrise",496223.5659,5458205.765
"Break and Enter Residential/Other",2004,8,17,3,0,"13XX E 12TH AVE","Kensington-Cedar Cottage",494483.8556,5456316.7251
"Vehicle Collision or Pedestrian Struck (with Fatality)",2004,8,26,1,22,"18XX BLOCK W 4TH AVE","Kitsilano",489319,5457237
"Homicide",2004,8,28,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Other Theft",2004,9,2,1,30,"7XX HOMER ST","Central Business District",491519.6896,5458558.166
"Theft of Bicycle",2004,9,11,0,0,"33XX VICTORIA DR","Kensington-Cedar Cottage",495192.5449,5455784.1595
"Theft from Vehicle",2004,10,7,21,0,"10XX GILFORD ST","West End",489771.9792,5459720.2803
"Break and Enter Residential/Other",2004,10,13,16,0,"86XX MAIN ST","Sunset",492543.7293,5450458.989
"Theft from Vehicle",2004,10,14,23,0,"13XX DAVIE ST","West End",490145.3665,5458952.8409
"Theft of Bicycle",2004,11,9,19,0,"40XX W 10TH AVE","West Point Grey",485708.9432,5456778.4019
"Break and Enter Commercial",2004,11,19,1,36,"9XX RICHARDS ST","Central Business District",491296.6695,5458463.958
"Theft from Vehicle",2004,11,19,17,0,"E BROADWAY AVE / QUEBEC ST","Mount Pleasant",492508.8626,5456694.3105
"Homicide",2004,11,30,0,0,"OFFSET TO PROTECT PRIVACY","Grandview-Woodland",0,0
"Other Theft",2004,12,11,15,30,"16XX JOHNSTON ST","Fairview",490124.9546,5457766.1695
"Theft of Vehicle",2004,12,27,14,0,"11XX FOUNDRY QUAY","Fairview",490504.3314,5457213.1437
"Break and Enter Commercial",2004,12,29,19,30,"26XX MAIN ST","Mount Pleasant",492646.7379,5456579.1385
"Homicide",2005,1,30,0,0,"OFFSET TO PROTECT PRIVACY","Oakridge",0,0
"Homicide",2005,2,1,0,0,"OFFSET TO PROTECT PRIVACY","Killarney",0,0
"Theft of Vehicle",2005,2,1,18,0,"30XX E 56TH AVE","Killarney",496813.7099,5451711.6384
"Vehicle Collision or Pedestrian Struck (with Fatality)",2005,2,7,10,56,"POWELL ST / GORE AVE","Strathcona",492893,5458938
"Other Theft",2005,4,24,13,8,"11XX ROBSON ST","West End",490795.0156,5459233.3232
"Other Theft",2005,4,29,13,36,"11XX HOWE ST","Central Business District",490849.9689,5458442.5047
"Homicide",2005,5,12,0,0,"OFFSET TO PROTECT PRIVACY","West Point Grey",0,0
"Offence Against a Person",2005,5,14,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Other Theft",2005,5,21,22,30,"COMMERCIAL DR / E 10TH AVE","Kensington-Cedar Cottage",494920.3381,5456517.1513
"Theft of Vehicle",2005,5,23,19,45,"5XX E 59TH AVE","Sunset",493151.8743,5451531.9332
"Theft of Vehicle",2005,5,28,18,0,"9XX RICHARDS ST","Central Business District",491206.5251,5458385.5403
"Theft of Vehicle",2005,6,8,17,15,"88XX LAUREL ST","Marpole",490939.5424,5450221.7468
"Break and Enter Commercial",2005,6,14,19,0,"4XX ROBSON ST","Central Business District",491477.4042,5458558.4432
"Theft of Vehicle",2005,6,18,13,30,"10XX COTTON DR","Grandview-Woodland",494798.5713,5458176.9094
"Homicide",2005,6,29,0,0,"OFFSET TO PROTECT PRIVACY","Renfrew-Collingwood",0,0
"Mischief",2005,7,11,21,0,"7XX BEATTY ST","Central Business District",491837.5197,5458441.1982
"Mischief",2005,7,13,19,0,"43XX W 10TH AVE","West Point Grey",485076.8572,5456794.8364
"Other Theft",2005,7,31,18,0,"18XX MACDONALD ST","Kitsilano",487766.0328,5457457.1617
"Vehicle Collision or Pedestrian Struck (with Fatality)",2005,8,24,20,0,"CHARLES ST / RENFREW ST","Hastings-Sunrise",496787,5457834
"Offence Against a Person",2005,8,25,0,0,"OFFSET TO PROTECT PRIVACY","Killarney",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2005,8,31,15,15,"23XX W 4TH AVE","Kitsilano",488458,5457310
"Break and Enter Commercial",2005,9,3,16,0,"5XX W 12TH AVE","Fairview",491526.3604,5456417.3795
"Break and Enter Commercial",2005,9,4,11,0,"71XX MACDONALD ST","Kerrisdale",487672.0591,5452058.8575
"Break and Enter Residential/Other",2005,9,13,15,0,"29XX E 4TH AVE","Hastings-Sunrise",496829.7782,5457096.6167
"Theft of Bicycle",2005,9,18,16,0,"HOWE ST / SMITHE ST","Central Business District",491095.1703,5458699.5476
"Theft of Bicycle",2005,9,28,12,0,"3XX W 2ND AVE","Mount Pleasant",491829.1584,5457233.5919
"Homicide",2005,10,8,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Break and Enter Residential/Other",2005,10,16,19,30,"10XX W 7TH AVE","Fairview",490722.9687,5456937.6514
"Vehicle Collision or Pedestrian Struck (with Fatality)",2005,10,20,18,25,"19XX BLOCK E BROADWAY AVE","Kensington-Cedar Cottage",495275,5456590
"Mischief",2005,10,24,3,55,"8X W PENDER ST","Central Business District",492206.8702,5458693.4618
"Vehicle Collision or Pedestrian Struck (with Fatality)",2005,11,5,19,25,"4XX BLOCK SMITHE ST","Central Business District",491372,5458427
"Offence Against a Person",2005,11,23,0,0,"OFFSET TO PROTECT PRIVACY","Mount Pleasant",0,0
"Theft of Vehicle",2005,11,23,16,0,"11XX NELSON ST","West End",490662.6897,5458898.5787
"Break and Enter Commercial",2005,12,14,19,24,"8XX HOMER ST","Central Business District",491437.5291,5458475.5308
"Homicide",2005,12,18,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Theft of Bicycle",2005,12,21,18,0,"14XX HOMER ST","Central Business District",490792.9914,5457685.722
"Vehicle Collision or Pedestrian Struck (with Fatality)",2005,12,23,4,4,"19XX BLOCK E 41ST AVE","Victoria-Fraserview",495146,5453310
"Vehicle Collision or Pedestrian Struck (with Fatality)",2006,1,17,5,45,"QUEBEC ST / NATIONAL AVE","Central Business District",492583,5458026
"Vehicle Collision or Pedestrian Struck (with Injury)",2006,1,17,8,22,"E 59TH AVE / MAIN ST","Sunset",492575,5451554
"Break and Enter Commercial",2006,1,23,19,0,"15XX E 5TH AVE","Grandview-Woodland",494755.6684,5457034.3358
"Offence Against a Person",2006,1,31,0,0,"OFFSET TO PROTECT PRIVACY","Riley Park",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2006,2,3,19,35,"E 55TH AVE / KERR ST","Killarney",496988,5451824
"Theft of Vehicle",2006,2,4,22,30,"33XX SOPHIA ST","Riley Park",492828.7742,5455835.6456
"Break and Enter Residential/Other",2006,2,6,4,50,"64XX VICTORIA DR","Victoria-Fraserview",495217.9657,5452541.5503
"Theft from Vehicle",2006,2,26,15,0,"21XX W 39TH AVE","Arbutus Ridge",488521.7229,5453759.5672
"Break and Enter Commercial",2006,2,27,7,35,"6X POWELL ST","Central Business District",492514.1843,5458945.2783
"Theft of Vehicle",2006,3,3,15,0,"51XX ONTARIO ST","Riley Park",492329.7646,5454039.4245
"Mischief",2006,3,4,0,8,"8XX HOWE ST","Central Business District",491166.1481,5458763.207
"Theft from Vehicle",2006,4,25,22,0,"2XX RENFREW ST","Hastings-Sunrise",496796.4572,5458832.3774
"Vehicle Collision or Pedestrian Struck (with Fatality)",2006,5,9,15,30,"E 41ST AVE / MAIN ST","Sunset",492609,5453363
"Theft of Bicycle",2006,5,11,12,0,"6XX W WATERFRONT RD","Central Business District",491948.5359,5459325.4557
"Theft of Vehicle",2006,6,12,14,0,"46XX W 12TH AVE","West Point Grey",484549.3493,5456604.4909
"Vehicle Collision or Pedestrian Struck (with Fatality)",2006,6,27,12,43,"GRANVILLE ST / DRAKE ST","Central Business District",490706,5458156
"Theft of Vehicle",2006,7,2,2,0,"41XX SKEENA ST","Renfrew-Collingwood",497927.8756,5455008.9663
"Theft from Vehicle",2006,7,4,19,0,"1XX W 41ST AVE","Oakridge",492089.7242,5453388.691
"Vehicle Collision or Pedestrian Struck (with Fatality)",2006,7,9,11,41,"E HASTINGS ST / CARRALL ST","Central Business District",492412,5458751
"Vehicle Collision or Pedestrian Struck (with Fatality)",2006,7,28,6,40,"CLARK DR / N GRANDVIEW HWY","Strathcona",494368,5457062
"Theft of Bicycle",2006,8,4,16,0,"1XX W 1ST AVE","Mount Pleasant",492142.6161,5457500.0876
"Vehicle Collision or Pedestrian Struck (with Injury)",2006,9,9,11,19,"PRINCE EDWARD ST / E 49TH AVE","Sunset",492899,5452538
"Mischief",2006,9,13,1,32,"7XX DAVIE ST","Central Business District",490814.4573,5458274.51
"Break and Enter Commercial",2006,9,17,5,39,"45XX W 10TH AVE","West Point Grey",484609.467,5456806.7814
"Theft of Bicycle",2006,9,24,9,0,"16XX HORNBY ST","Central Business District",490312.4093,5458037.9564
"Break and Enter Commercial",2006,10,18,19,30,"28XX W BROADWAY AVE","Kitsilano",487700.7897,5456832.0184
"Mischief",2006,10,29,0,57,"10XX GRANVILLE ST","Central Business District",491035.6913,5458497.8878
"Theft of Vehicle",2006,11,3,6,0,"26XX W 4TH AVE","Kitsilano",488023.2795,5457293.6052
"Vehicle Collision or Pedestrian Struck (with Injury)",2006,11,19,1,16,"18XX BLOCK FRANCES ST","Grandview-Woodland",495063,5458512
"Theft of Bicycle",2006,11,30,20,0,"11XX E 12TH AVE","Mount Pleasant",494152.3073,5456329.2936
"Break and Enter Commercial",2006,12,17,7,50,"11XX COMMERCIAL DR","Grandview-Woodland",494945.5032,5457977.3969
"Theft from Vehicle",2007,1,3,23,30,"KINGSWAY AVE / TAUNTON ST","Renfrew-Collingwood",497121.1756,5453652.1738
"Vehicle Collision or Pedestrian Struck (with Fatality)",2007,2,1,12,0,"E 1ST AVE / RUPERT ST","Hastings-Sunrise",497540,5457400
"Break and Enter Commercial",2007,2,18,4,44,"22XX W 1ST AVE","Kitsilano",488712.5754,5457569.6381
"Theft of Vehicle",2007,3,7,21,30,"10XX HARWOOD ST","West End",490435.9692,5458336.0877
"Break and Enter Residential/Other",2007,5,2,18,48,"46XX W 6TH AVE","West Point Grey",484455.8296,5457193.7046
"Homicide",2007,5,19,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2007,6,29,22,19,"14XX BLOCK E 10TH AVE","Kensington-Cedar Cottage",494502,5456518
"Mischief",2007,6,30,21,22,"69XX FRONTENAC ST","Killarney",498056.0334,5451959.3628
"Offence Against a Person",2007,7,11,0,0,"OFFSET TO PROTECT PRIVACY","Fairview",0,0
"Break and Enter Residential/Other",2007,7,15,0,0,"8XX W 67TH AVE","Marpole",490943.4914,5450875.8076
"Theft of Vehicle",2007,7,15,0,0,"11XX E 53RD AVE","Sunset",493963.7814,5452119.8208
"Break and Enter Commercial",2007,7,30,5,21,"7XX BEATTY ST","Central Business District",491731.7151,5458335.3969
"Other Theft",2007,9,7,13,18,"6XX ROBSON ST","Central Business District",491356.587,5458679.4257
"Vehicle Collision or Pedestrian Struck (with Fatality)",2007,10,14,0,40,"85XX BLOCK OAK ST","Marpole",490514,5450734
"Theft from Vehicle",2007,11,4,16,0,"11XX W 8TH AVE","Fairview",490461.2687,5456860.8896
"Offence Against a Person",2007,11,11,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2007,11,26,14,2,"VENABLES ST / RAYMUR AVE","Strathcona",493991,5458233
"Break and Enter Residential/Other",2008,1,2,11,0,"12XX W 12TH AVE","Fairview",490277.5531,5456452.0806
"Break and Enter Commercial",2008,1,3,18,30,"9XX POWELL ST","Strathcona",493947.9248,5458880.7983
"Break and Enter Residential/Other",2008,1,5,15,30,"21XX TRIUMPH ST","Grandview-Woodland",495593.3878,5459024.5241
"Homicide",2008,1,19,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Break and Enter Commercial",2008,1,31,20,0,"2XX E 11TH AVE","Mount Pleasant",492841.7294,5456479.5849
"Theft from Vehicle",2008,3,6,21,5,"3XX ALEXANDER ST","Strathcona",492914.5747,5459043.2255
"Mischief",2008,3,15,20,38,"BUTE ST / DAVIE ST","West End",490301.4017,5458792.1624
"Offence Against a Person",2008,3,17,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Mischief",2008,3,22,20,0,"43XX ROSS ST","Kensington-Cedar Cottage",494083.5913,5454824.5785
"Break and Enter Residential/Other",2008,3,26,2,30,"66XX ARGYLE ST","Victoria-Fraserview",494766.9342,5452350.9907
"Offence Against a Person",2008,4,19,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Theft of Vehicle",2008,4,24,14,0,"6XX E 49TH AVE","Sunset",493250.0112,5452523.0269
"Homicide",2008,5,7,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Break and Enter Residential/Other",2008,5,8,0,0,"4XX E 6TH AVE","Mount Pleasant",493145.6286,5456953.4585
"Offence Against a Person",2008,6,10,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Break and Enter Residential/Other",2008,6,20,15,0,"62XX INVERNESS ST","Sunset",494180.1456,5452754.5758
"Other Theft",2008,6,20,16,5,"7XX DUNSMUIR ST","Central Business District",491511.6366,5459023.6766
"Theft of Vehicle",2008,6,25,11,39,"5XX E PENDER ST","Strathcona",493208.4766,5458612.4018
"Offence Against a Person",2008,7,1,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Mischief",2008,7,25,7,31,"11XX SALSBURY DR","Grandview-Woodland",495088.4088,5458007.6638
"Homicide",2008,7,28,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Offence Against a Person",2008,8,25,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Homicide",2008,8,30,0,0,"OFFSET TO PROTECT PRIVACY","Grandview-Woodland",0,0
"Other Theft",2008,9,20,11,48,"CARRALL ST / EXPO BLVD","Central Business District",492278.8098,5458371.1047
"Homicide",2008,12,12,0,0,"OFFSET TO PROTECT PRIVACY","Mount Pleasant",0,0
"Theft from Vehicle",2008,12,29,22,0,"E 12TH AVE / NANAIMO ST","Kensington-Cedar Cottage",495879.522,5456266.5607
"Theft of Bicycle",2009,1,12,19,0,"16XX W 7TH AVE","Fairview",489612.0808,5456965.9566
"Offence Against a Person",2009,1,16,0,0,"OFFSET TO PROTECT PRIVACY","Mount Pleasant",0,0
"Offence Against a Person",2009,2,1,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Break and Enter Commercial",2009,2,14,15,0,"11XX STATION ST","Strathcona",492834.924,5457930.2559
"Break and Enter Residential/Other",2009,2,16,12,0,"57XX KILLARNEY ST","Killarney",496660.2242,5453284.6972
"Break and Enter Commercial",2009,2,23,5,40,"48XX MAIN ST","Riley Park",492622.8611,5454382.3271
"Break and Enter Residential/Other",2009,4,14,0,0,"69XX DUMFRIES ST","Victoria-Fraserview",494566.0501,5452065.0507
"Mischief",2009,4,15,6,0,"1XX NANAIMO ST","Hastings-Sunrise",495893.2617,5459013.2891
"Mischief",2009,4,16,17,0,"9XX E 13TH AVE","Mount Pleasant",493792.4108,5456224.0297
"Theft of Vehicle",2009,4,23,14,0,"COTTON DR / WILLIAM ST","Grandview-Woodland",494801.364,5457912.0634
"Theft of Vehicle",2009,5,29,18,0,"ARBUTUS ST / W 13TH AVE","Kitsilano",488860.5144,5456376.1918
"Mischief",2009,5,30,11,50,"10XX BURRARD ST","Central Business District",490835.5218,5458718.9971
"Theft of Vehicle",2009,6,8,23,0,"35XX DIEPPE DR","Renfrew-Collingwood",498212.3084,5455457.9352
"Theft of Bicycle",2009,7,10,16,0,"11XX CHESTNUT ST","Kitsilano",489371.2063,5458167.6272
"Offence Against a Person",2009,7,19,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Homicide",2009,7,29,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Other Theft",2009,8,14,16,14,"57XX BALSAM ST","Kerrisdale",488249.5363,5453540.8656
"Offence Against a Person",2009,8,25,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2009,9,26,3,24,"20XX BLOCK DUNDAS ST","Grandview-Woodland",495402,5459119
"Other Theft",2009,12,4,18,30,"E 49TH AVE / VICTORIA DR","Victoria-Fraserview",495211.6049,5452489.3887
"Vehicle Collision or Pedestrian Struck (with Fatality)",2009,12,11,17,26,"CAMBIE ST / DUNSMUIR ST","Central Business District",491886,5458643
"Break and Enter Residential/Other",2009,12,14,6,0,"21XX W 42ND AVE","Kerrisdale",488600.7907,5453441.6815
"Break and Enter Residential/Other",2009,12,17,22,0,"23XX W BROADWAY AVE","Kitsilano",488458.8774,5456811.5161
"Break and Enter Commercial",2010,1,8,1,0,"34XX LOUGHEED HWY","Renfrew-Collingwood",497775.7005,5456605.7661
"Theft from Vehicle",2010,1,11,20,0,"MCGEER ST / QUEENS AVE","Renfrew-Collingwood",497611.5699,5454134.6833
"Homicide",2010,1,16,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Break and Enter Residential/Other",2010,3,12,20,50,"47XX ARBUTUS ST","Arbutus Ridge",488837.8938,5454530.2614
"Theft from Vehicle",2010,3,13,11,0,"4XX RICHARDS ST","Central Business District",491861.1434,5459031.9759
"Mischief",2010,3,28,17,0,"13XX SALSBURY DR","Grandview-Woodland",495085.1469,5457786.4896
"Homicide",2010,3,29,0,0,"OFFSET TO PROTECT PRIVACY","Hastings-Sunrise",0,0
"Break and Enter Commercial",2010,3,31,1,22,"63XX FRASER ST","Sunset",493399.4446,5452666.1249
"Theft of Bicycle",2010,4,28,23,5,"19XX FERNDALE ST","Grandview-Woodland",495236.1328,5458543.8179
"Theft of Vehicle",2010,5,17,18,0,"12XX BUTE ST","West End",490291.7511,5458775.7476
"Theft of Vehicle",2010,8,18,22,30,"11XX GRANVILLE ST","Central Business District",490934.3357,5458381.2846
"Theft of Bicycle",2010,9,7,12,0,"3XX W GEORGIA ST","Central Business District",491651.5653,5458615.1512
"Offence Against a Person",2010,9,14,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2010,11,3,10,37,"11XX STATION ST","Strathcona",492831,5457946
"Theft of Vehicle",2010,11,27,20,0,"23XX PENTICTON ST","Hastings-Sunrise",496207.3613,5456785.5853
"Theft from Vehicle",2011,1,24,5,0,"70XX ASH CRES","Oakridge",491332.7528,5452035.2172
"Theft from Vehicle",2011,2,21,8,30,"5XX BURRARD ST","Central Business District",491374.3329,5459261.1093
"Theft of Bicycle",2011,4,9,12,0,"6XX ABBOTT ST","Central Business District",492166.9595,5458515.5062
"Homicide",2011,4,11,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Theft of Vehicle",2011,5,1,15,0,"25XX E 18TH AVE","Renfrew-Collingwood",496049.3753,5455694.2777
"Vehicle Collision or Pedestrian Struck (with Fatality)",2011,5,1,18,59,"E 41ST AVE / KILLARNEY ST","Killarney",496655,5453354
"Offence Against a Person",2011,5,30,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Theft of Bicycle",2011,7,11,12,0,"8XX HOMER ST","Central Business District",491473.3602,5458498.6413
"Homicide",2011,7,26,0,0,"OFFSET TO PROTECT PRIVACY","Mount Pleasant",0,0
"Offence Against a Person",2011,8,13,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Theft of Bicycle",2011,9,6,15,0,"9XX JERVIS ST","West End",490492.6689,5459214.2957
"Theft of Vehicle",2011,9,24,20,30,"6XX JERVIS ST","Central Business District",490851.4163,5459569.6028
"Vehicle Collision or Pedestrian Struck (with Injury)",2011,9,28,16,22,"GRAVELEY ST / COMMERCIAL DR","Grandview-Woodland",494933,5457528
"Break and Enter Residential/Other",2011,11,26,0,30,"15XX LAURIER AVE","Shaughnessy",489753.8012,5455356.8552
"Theft from Vehicle",2012,3,11,5,45,"11XX HORNBY ST","Central Business District",490697.451,5458424.7387
"Homicide",2012,3,19,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
