"id","title","description","issued","modified","publisher","version","doi"
"ark:/88434/mds00qm9jh","NIST Wavenumber Calibration Tables from Heterodyne Frequency Measurements - SRD 118",NA,NA,"1998-04-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0112t2f","Raw data files that were used in writing ""Analysis of human plasma metabolites across different liquid chromatography/mass spectrometry platforms: Cross-platform transferable chemical signatures"" by Kelly H. Telu, Xinjian Yan, William E. Wallace, Stephen E. Stein and Yamil Simón-Manso, Published paper: DOI: 10.1002/rcm.7475",NA,NA,"2016-05-20","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0149s9z","Intel Edison wireless latency and reliability computing code",NA,NA,"2017-10-17","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00jwkr0","NIST CAD Models and STEP Files with PMI",NA,NA,"2015-12-21","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00cg16j","Baseline Tailor",NA,NA,"2017-11-09","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds014dgx8","NIST Atomic Transition Probability Bibliographic Database - SRD 110",NA,NA,"2014-09-19","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds011m1f6","NIST TREC Document Database: Disk 5 - NIST Special Database 23",NA,NA,"1997-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds003zqpd","FIZ/NIST Inorganic Crystal Structure Database (ICSD) - SRD 84",NA,NA,"2015-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds017qjgs","NIST Chem-BLAST Gateway for PDB - SRD 155",NA,NA,"2013-04-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00mqhx6","CORR-DATA",NA,NA,"1997-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00f8cdm","SRM 3158 Thallium (Tl) Standard Solution Lot No. 993012",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds014mftx","Color FERET Database",NA,NA,"2000-01-20","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0059vmm","SRM 1849a Infant/Adult Nutritional Formula",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01311t3","SRM 1941b Organics in Marine Sediment",NA,NA,"2016-09-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00f42k2","SRM 690 Iron Ore (Canada)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01b07kt","Experimentally Generated Randomness Certified by the Impossibility of Superluminal Signals",NA,NA,"2017-06-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds016hccq","NIST Periodic Table: Atomic Properties of the Elements - SRD 145",NA,NA,"2013-05-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds000nxhf","NIST ThermoLit: NIST Literature Report Builder for Thermophysical and Thermochemical Property Measurements - SRD 171",NA,NA,"2016-02-02","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00bzt0d","NIST Electron Inelastic-Mean-Free-Path Database - SRD 71",NA,NA,"2010-12-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01ch4nj","SRM 2693 Bituminous Coal (Nominal Mass Fraction 0.5 % Sulfur)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds002nqhc","SRM 693 Iron Ore (Nimba)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds007wk81","SRM 1635a Trace Elements in Coal (Subbituminous)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00t0m0r","Matrix Market",NA,NA,"2007-05-10","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00hj90v","SRM 2973 Vitamin D Metabolites in Frozen Human Serum (High Level)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01drf35","Computer Code for Industrial Wireless Measurement Analysis and Scenario Generation",NA,NA,"2016-11-04","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01ff8t0","SRM 3669 Arsenic Species in Frozen Human Urine (Elevated Levels)",NA,NA,"2016-09-02","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01ckvkj","SRM 3120a Germanium (Ge) Standard Solution Lot No. 080429",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0118j5t","SRM 3183 Fluoride Anion (F-) Standard Solution",NA,NA,"2016-09-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00xxhhd","CHiMaD Phase Field",NA,NA,"2017-11-08","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00hhndf","SRM 2689 Coal Fly Ash",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00mgr10","MCSLinv: An inverse Monte Carlo code  to calculate optical scattering parameters in C++",NA,NA,"2017-09-20","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00wnngt","NIST SAMATE Software Assurance Reference Dataset",NA,NA,"2015-11-18","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds001bqcv","NIST Polycyclic Aromatic Hydrocarbon Structure Index - SRD 204",NA,NA,"2014-09-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00kfmdw","NIST Atomic Spectral Line Broadening Bibliographic Database - SRD 109",NA,NA,"2014-09-19","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds003d0bx","SRM 2585 Organic Contaminants in House Dust",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01czkg2","NIST Ceramics WebBook - SRD 151",NA,NA,"2015-06-22","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00xj8c1","SRM 3127a Lanthanum (La) Standard Solution Lot No. 151030",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0192t38","Sampling-Agnostic Software Framework for Converting Between Texture Map Representations of Virtual Environments",NA,NA,"2017-05-16","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds005j5fh","SRM 3186 Phosphate Anion (PO43-) Standard Solution",NA,NA,"2016-09-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00ppgnz","Data on Smoke Alarm Performance: A Compilation to NIST TN 1947",NA,NA,"2016-12-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00rwvhq","NIST Bibliography of Photon Total Cross Section (Attenuation Coefficient) Measurements - SRD 125",NA,NA,"2003-06-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00v98gm","NIST Energy Levels of Hydrogen and Deuterium - SRD 142",NA,NA,"2005-07-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0000fbk","Multiple Encounter Dataset (MEDS-I) - NIST Special Database 32",NA,NA,"2011-07-11","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds009zxgp","SRM 1957 Organic Contaminants in Non-Fortified Human Serum (Freeze-Dried)",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00n4925","NIST Cryogenic Materials Property Database - SRD 152",NA,NA,"2009-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00dt7rm","NIST MEMS Calculator - SRD 166",NA,NA,"2014-05-22","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0026277","SRM 695 Trace Elements in Multi-Nutrient Fertilizer",NA,NA,"2016-09-02","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds005vf6s","SRM 1958 Organic Contaminants in Fortified Human Serum (Freeze-Dried)",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds011dkz0","NIST Statistical Reference Datasets - SRD 140",NA,NA,"2003-11-20","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00qdrz9","NIST Center for Neutron Research raw data archive",NA,NA,"2015-06-29","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00dv1z8","NIST Backscattering Correction Factor Database for Auger Electron Spectroscopy - SRD 154",NA,NA,"2015-07-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds015swxd","NIST Atomic Reference Data for Electronic Structure Calculations - SRD 141",NA,NA,"2009-03-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00tv689","Technical Data Packages (TDPs) from the Smart Manufacturing Systems (SMS) Test Bed",NA,NA,"2016-06-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00rf6xx","SRM 3156 Tellurium (Te) Standard Solution Lot No. 140830",NA,NA,"2017-01-04","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds019909x","SRM 2719 Calcined Petroleum Coke",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0041n4g","NIST Human Mitochondrial Protein Database - SRD 131",NA,NA,"2007-01-02","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00g2h5n","Digital Manufacturing Certificate Toolkit",NA,NA,"2016-06-12","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds012c29w","SRM 2718a Green Petroleum Coke",NA,NA,"2017-01-09","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00q5ftr","Full Statistical Mode Reconstruction of a light field",NA,NA,"2017-05-25","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds002z9cj","SRM 2684c Bituminous Coal (Nominal Mass Fraction 3 % Sulfur)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00nfncp","SRM 2387 Peanut Butter",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00khtms","SRM 1297 Stainless Steel (SAE 201)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds010h0wp","NIST Peptide Tandem Mass Spectral Libraries with Search Programs - SRD 1c",NA,NA,"2014-04-22","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds019c7pw","NIST X-Ray Transition Energies Database - SRD 128",NA,NA,"2005-08-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00wpckz","Multiple Encounter Dataset (MEDS-II) - NIST Special Database 32",NA,NA,"2011-07-11","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01b55n4","SRM 131h Refined Cast Iron",NA,NA,"2017-01-25","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds015gc5r","NIST Heat Transmission Properties of Insulating and Building Materials - SRD 81",NA,NA,"2000-01-07","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00v259f","Nonstructural Component and System Testing Database (NIST/ATC-120)",NA,NA,"2017-02-28","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00x80g4","SRM 999c Potassium Chloride (High-Purity Chemical)",NA,NA,"2017-01-04","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds003xv6n","SRM 3182 Chloride Anion (Cl-) Standard Solution",NA,NA,"2016-09-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00hw91v","OptSortSph: Sorting Spherical Dielectric Particles in a Standing-Wave Interference Field",NA,NA,"2016-07-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00kmhrv","SRM 2683c Bituminous Coal (Nominal Mass Fraction 2 % Sulfur)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00xzh7q","NIST NLTE-4 Plasma Kinetics Modeling Database NIST - SRD 159",NA,NA,"2007-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00mgp11","SRM 3281 Cranberry (Fruit)",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds012xzhq","NIST Test Personal Identity Verification (PIV) Cards - Special Database 33",NA,"2012-07-16","2012-07-16","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds006nhc2","3D Data for the Evaluation of Point-Based, Rigid Body Registration Error",NA,NA,"2017-03-02","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds014z4z4","SRM 673 Nickel Oxide No. 3",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01cnnp3","Election Results Reporting XML Schema Version 1.0",NA,NA,"2016-02-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00tn6h7","EDGe$ (Economic Decision Guide Software) Tool",NA,NA,"2018-01-08","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01cg12v","SRM 3264 St. John's Wort (Hypericum perforatum L.) Methanol Extract",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds008p2mp","SRM 692 Iron Ore Labrador",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds019g79j","Effect of Heterogeneity and Shape on Optical Properties of Urban Dust Based on 3-Dimensional Modeling of Individual Particles",NA,NA,"2017-06-23","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds006dzpv","NIST Thermophysical Properties of Hydrocarbon Mixtures - SRD 4",NA,NA,"2013-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01fr5wm","NIST TREC Document Database: Disk 4 - NIST Special Database 22",NA,NA,"1996-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00bx4k3","Results from double-shear tests of high-strength structural bolts at elevated temperatures",NA,NA,"2016-08-15","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0080s8p","SRM 3282 Low-Calorie Cranberry Juice Cocktail",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00pf6v2","NIST/ASME Steam Properties Database - SRD 10",NA,NA,"2013-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00g5k3x","SRM 3290 Dry Cat Food",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds008pj3p","NDRL/NIST Solution Kinetics Database on the Web - SRD 40",NA,NA,"2002-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00nx81g","SRM 635a Portland Cement (Blended with Slag)",NA,NA,"2016-09-28","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds015pd3w","SRM 2193a Calcium Carbonate pH Standard [used as saturated Ca(OH)2 solution]",NA,NA,"2016-09-29","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0032pj6","NIST Clathrate Hydrate Physical Property Database - SRD 156",NA,NA,"2009-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds000h80q","Guide to Available Mathematical Software",NA,NA,"2010-12-19","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00qcvvr","SRM 3287 Blueberry (Fruit)",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds006129p","NIST The Spectrum of Th-Ar Hollow Cathode Lamps in the 691nm to 5804nm region Database - SRD 161",NA,NA,"2011-12-13","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00hqwk3","SRM 2384 Baking Chocolate",NA,NA,"2015-08-27","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01c89cp","mumpcepy: A Python implementation of the Method of Uncertainty Minimization using Polynomial Chaos Expansions",NA,NA,"2017-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00c176m","SRM 1944  New York/New Jersey Waterway Sediment",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00tmntq","NIST Structured Forms Reference Set of Binary Images II (SFRS2) - NIST Special Database 6",NA,NA,"2017-01-10","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds007tmvd","NIST Stopping-Power and Range Tables for Electrons, Protons, and Helium Ions - SRD 124",NA,NA,"2005-08-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00jk7dz","NISTfit",NA,NA,"2017-12-21","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds003z60t","Joint Quantum State and Measurement Tomography",NA,NA,"2018-02-17","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00ckn10","Reference Data Set of Human Skin Reflectance",NA,NA,"2017-03-31","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01bqqwn","NIST/ARPA-E Database of Novel and Emerging Adsorbent Materials - SRD 205",NA,NA,"2016-09-07","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00gx6g5","NIST Potential Energy Surface Database of Group II Dimer Molecules - SRD 143",NA,NA,"2010-08-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0184k0t","SRM 1877 Beryllium Oxide Powder",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds011dnc5","SRM 2452 Hydrogen in Titanium Alloy",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00gf2m1","SRM 2631a Nitric Oxide in Nitrogen (Nominal Amount-of-Substance Fraction 3000 µmol/mol)",NA,NA,"2015-07-21","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00ghjwt","SRM 3131a Magnesium (Mg) Standard Solution Lot 140110",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00rz0qn","NIST Radionuclide Half-Life Measurements - SRD 120",NA,NA,"2003-04-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01d4mwd","National Software Reference Library (NSRL) Reference Data Set (RDS) - NIST Special Database 28",NA,NA,"2017-09-08","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00r20db","SRM 3239 Isoflavones Calibration Solution",NA,NA,"2017-01-04","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds018z0q7","NIST SAHA Plasma Population Kinetics Modeling Database - SRD 158",NA,NA,"2006-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00rtjr3","NIST Recommended Rest Frequencies for Observed Interstellar Molecular Microwave Transitions - SRD 116",NA,NA,"2009-09-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0048vrt","SRM 972a Vitamin D Metabolites in Frozen Human Serum",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0051twp","Cell-scaffold contact",NA,NA,"2017-02-21","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00fm6ms","Parallel Hierarchical Adaptive Multilevel Project (PHAML)",NA,NA,"2015-09-18","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00kwv60","NIST Bibliographic Database on Atomic Energy Levels and Spectra - SRD 169",NA,NA,"2014-09-19","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00t2dfg","SRM 2691 Coal Fly Ash",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00kq9wc","SRM 3104a Barium (Ba) Standard Solution Lot No. 140909",NA,NA,"2016-09-14","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds0065b58","Source files for online unpolarized neutron and x-ray reflectivity calculator",NA,NA,"2017-02-21","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds005v42c","Net Zero Energy Residential Test Facility Instrumented Data;  Year 2",NA,NA,"2016-12-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01dq9v5","Supplementary material for: The detection of carbon dioxide leaks using quasi-tomographic laser absorption spectroscopy measurements in variable wind",NA,NA,"2015-11-09","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds002bbk2","MCMLpar:  A parallel version of the MCML code in C++",NA,NA,"2017-09-20","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds019mn31","NIST Electron Elastic-Scattering Cross-Section Database - SRD 64",NA,NA,"2012-01-01","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds006hgnx","SRM 1954 Organic Contaminants in Fortified Human Milk",NA,NA,"2017-01-06","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds01214cd","SRM 1632d Trace Elements in Coal (Bituminous)",NA,NA,"2017-01-05","National Institute of Standards and Technology","1.0.0",NA
"ark:/88434/mds00f3zf3","NIST Thermodynamics of Enzyme-Catalyzed Reactions database - SRD 74",NA,NA,"2004-01-01","National Institute of Standards and Technology","1.0.0",NA
