"date","alarm_year","alarm_month","alarm_day","major_incident_type","incident_count","id"
"2010-11-20T00:00:00.000","2010","11","20","Medical/Rescue","62","2010-11-20Medical/Rescue"
"2011-04-19T00:00:00.000","2011","4","19","Hazardous Condition","18","2011-04-19Hazardous Condition"
"2011-06-07T00:00:00.000","2011","6","7","Medical/Rescue","58","2011-06-07Medical/Rescue"
"2012-01-01T00:00:00.000","2012","1","1","False Alarm","28","2012-01-01False Alarm"
"2012-01-09T00:00:00.000","2012","1","9","False Alarm","13","2012-01-09False Alarm"
"2012-06-17T00:00:00.000","2012","6","17","Hazardous Condition","18","2012-06-17Hazardous Condition"
"2013-05-10T00:00:00.000","2013","5","10","False Alarm","22","2013-05-10False Alarm"
"2013-11-19T00:00:00.000","2013","11","19","Public Service Assistance","7","2013-11-19Public Service Assistance"
"2013-12-16T00:00:00.000","2013","12","16","Medical/Rescue","107","2013-12-16Medical/Rescue"
"2014-03-11T00:00:00.000","2014","3","11","Medical/Rescue","79","2014-03-11Medical/Rescue"
"2014-05-22T00:00:00.000","2014","5","22","Investigation","15","2014-05-22Investigation"
"2014-06-20T00:00:00.000","2014","6","20","Severe Weather","3","2014-06-20Severe Weather"
"2014-10-27T00:00:00.000","2014","10","27","Public Service Assistance","6","2014-10-27Public Service Assistance"
"2014-11-16T00:00:00.000","2014","11","16","Hazardous Condition","14","2014-11-16Hazardous Condition"
"2011-05-17T00:00:00.000","2011","5","17","False Alarm","26","2011-05-17False Alarm"
"2011-09-11T00:00:00.000","2011","9","11","Public Service Assistance","9","2011-09-11Public Service Assistance"
"2011-11-01T00:00:00.000","2011","11","1","Hazardous Condition","27","2011-11-01Hazardous Condition"
"2012-01-01T00:00:00.000","2012","1","1","Hazardous Condition","14","2012-01-01Hazardous Condition"
"2012-01-27T00:00:00.000","2012","1","27","Investigation","17","2012-01-27Investigation"
"2012-06-29T00:00:00.000","2012","6","29","Hazardous Condition","30","2012-06-29Hazardous Condition"
"2012-09-21T00:00:00.000","2012","9","21","Public Service Assistance","12","2012-09-21Public Service Assistance"
"2012-12-20T00:00:00.000","2012","12","20","Severe Weather","1","2012-12-20Severe Weather"
"2013-05-10T00:00:00.000","2013","5","10","Hazardous Condition","29","2013-05-10Hazardous Condition"
"2013-06-10T00:00:00.000","2013","6","10","Hazardous Condition","17","2013-06-10Hazardous Condition"
"2013-08-18T00:00:00.000","2013","8","18","False Alarm","23","2013-08-18False Alarm"
"2013-12-17T00:00:00.000","2013","12","17","Fire","5","2013-12-17Fire"
"2014-02-11T00:00:00.000","2014","2","11","Investigation","10","2014-02-11Investigation"
"2014-03-12T00:00:00.000","2014","3","12","Severe Weather","2","2014-03-12Severe Weather"
"2014-06-10T00:00:00.000","2014","6","10","Hazardous Condition","26","2014-06-10Hazardous Condition"
"2014-06-16T00:00:00.000","2014","6","16","Public Service Assistance","11","2014-06-16Public Service Assistance"
"2014-07-24T00:00:00.000","2014","7","24","Public Service Assistance","11","2014-07-24Public Service Assistance"
"2014-11-16T00:00:00.000","2014","11","16","Investigation","10","2014-11-16Investigation"
"2010-12-09T00:00:00.000","2010","12","9","Public Service Assistance","10","2010-12-09Public Service Assistance"
"2011-04-19T00:00:00.000","2011","4","19","Investigation","8","2011-04-19Investigation"
"2011-07-16T00:00:00.000","2011","7","16","False Alarm","17","2011-07-16False Alarm"
"2011-08-26T00:00:00.000","2011","8","26","Medical/Rescue","78","2011-08-26Medical/Rescue"
"2011-09-12T00:00:00.000","2011","9","12","False Alarm","26","2011-09-12False Alarm"
"2012-01-01T00:00:00.000","2012","1","1","Investigation","14","2012-01-01Investigation"
"2012-03-09T00:00:00.000","2012","3","9","Fire","5","2012-03-09Fire"
"2012-04-21T00:00:00.000","2012","4","21","Hazardous Condition","24","2012-04-21Hazardous Condition"
"2013-10-03T00:00:00.000","2013","10","3","Investigation","8","2013-10-03Investigation"
"2014-06-29T00:00:00.000","2014","6","29","Medical/Rescue","77","2014-06-29Medical/Rescue"
"2014-09-23T00:00:00.000","2014","9","23","Medical/Rescue","68","2014-09-23Medical/Rescue"
"2014-10-28T00:00:00.000","2014","10","28","Hazardous Condition","20","2014-10-28Hazardous Condition"
"2014-11-16T00:00:00.000","2014","11","16","Medical/Rescue","73","2014-11-16Medical/Rescue"
"2010-07-23T00:00:00.000","2010","7","23","Medical/Rescue","61","2010-07-23Medical/Rescue"
"2011-01-04T00:00:00.000","2011","1","4","Public Service Assistance","5","2011-01-04Public Service Assistance"
"2011-02-23T00:00:00.000","2011","2","23","Investigation","10","2011-02-23Investigation"
"2011-05-17T00:00:00.000","2011","5","17","Fire","3","2011-05-17Fire"
"2011-05-17T00:00:00.000","2011","5","17","Investigation","13","2011-05-17Investigation"
"2011-06-28T00:00:00.000","2011","6","28","Investigation","17","2011-06-28Investigation"
"2011-11-01T00:00:00.000","2011","11","1","Investigation","12","2011-11-01Investigation"
"2012-04-06T00:00:00.000","2012","4","6","Medical/Rescue","65","2012-04-06Medical/Rescue"
"2012-06-29T00:00:00.000","2012","6","29","Investigation","24","2012-06-29Investigation"
"2012-09-22T00:00:00.000","2012","9","22","False Alarm","13","2012-09-22False Alarm"
"2012-11-03T00:00:00.000","2012","11","3","Investigation","10","2012-11-03Investigation"
"2013-04-02T00:00:00.000","2013","4","2","Hazardous Condition","23","2013-04-02Hazardous Condition"
"2013-06-10T00:00:00.000","2013","6","10","Investigation","18","2013-06-10Investigation"
"2013-09-22T00:00:00.000","2013","9","22","Investigation","13","2013-09-22Investigation"
"2013-10-03T00:00:00.000","2013","10","3","Medical/Rescue","56","2013-10-03Medical/Rescue"
"2014-02-11T00:00:00.000","2014","2","11","Medical/Rescue","63","2014-02-11Medical/Rescue"
"2014-06-10T00:00:00.000","2014","6","10","Investigation","12","2014-06-10Investigation"
"2014-10-07T00:00:00.000","2014","10","7","Public Service Assistance","2","2014-10-07Public Service Assistance"
"2010-08-14T00:00:00.000","2010","8","14","Public Service Assistance","9","2010-08-14Public Service Assistance"
"2011-01-28T00:00:00.000","2011","1","28","Public Service Assistance","6","2011-01-28Public Service Assistance"
"2011-05-17T00:00:00.000","2011","5","17","Medical/Rescue","74","2011-05-17Medical/Rescue"
"2011-08-26T00:00:00.000","2011","8","26","Public Service Assistance","12","2011-08-26Public Service Assistance"
"2012-08-21T00:00:00.000","2012","8","21","Public Service Assistance","12","2012-08-21Public Service Assistance"
"2012-12-24T00:00:00.000","2012","12","24","False Alarm","38","2012-12-24False Alarm"
"2013-06-10T00:00:00.000","2013","6","10","Medical/Rescue","71","2013-06-10Medical/Rescue"
"2013-06-28T00:00:00.000","2013","6","28","Investigation","18","2013-06-28Investigation"
"2013-11-08T00:00:00.000","2013","11","8","Medical/Rescue","81","2013-11-08Medical/Rescue"
"2013-11-19T00:00:00.000","2013","11","19","Rupture/Explosion","1","2013-11-19Rupture/Explosion"
"2014-05-22T00:00:00.000","2014","5","22","Medical/Rescue","107","2014-05-22Medical/Rescue"
"2014-07-19T00:00:00.000","2014","7","19","Hazardous Condition","25","2014-07-19Hazardous Condition"
"2010-09-01T00:00:00.000","2010","9","1","Public Service Assistance","7","2010-09-01Public Service Assistance"
"2011-01-05T00:00:00.000","2011","1","5","False Alarm","28","2011-01-05False Alarm"
"2011-02-23T00:00:00.000","2011","2","23","Medical/Rescue","74","2011-02-23Medical/Rescue"
"2011-07-07T00:00:00.000","2011","7","7","False Alarm","27","2011-07-07False Alarm"
"2011-08-27T00:00:00.000","2011","8","27","False Alarm","19","2011-08-27False Alarm"
"2012-01-27T00:00:00.000","2012","1","27","Medical/Rescue","54","2012-01-27Medical/Rescue"
"2012-04-21T00:00:00.000","2012","4","21","Investigation","19","2012-04-21Investigation"
"2012-06-17T00:00:00.000","2012","6","17","Investigation","9","2012-06-17Investigation"
"2013-11-08T00:00:00.000","2013","11","8","Public Service Assistance","4","2013-11-08Public Service Assistance"
"2013-12-02T00:00:00.000","2013","12","2","Hazardous Condition","26","2013-12-02Hazardous Condition"
"2014-02-20T00:00:00.000","2014","2","20","Public Service Assistance","5","2014-02-20Public Service Assistance"
"2014-07-25T00:00:00.000","2014","7","25","False Alarm","28","2014-07-25False Alarm"
"2014-10-28T00:00:00.000","2014","10","28","Investigation","16","2014-10-28Investigation"
"2014-11-17T00:00:00.000","2014","11","17","False Alarm","27","2014-11-17False Alarm"
"2010-12-10T00:00:00.000","2010","12","10","Hazardous Condition","20","2010-12-10Hazardous Condition"
"2011-04-05T00:00:00.000","2011","4","5","Investigation","12","2011-04-05Investigation"
"2011-07-07T00:00:00.000","2011","7","7","Fire","16","2011-07-07Fire"
"2012-06-18T00:00:00.000","2012","6","18","Fire","6","2012-06-18Fire"
"2012-06-29T00:00:00.000","2012","6","29","Medical/Rescue","89","2012-06-29Medical/Rescue"
"2012-11-03T00:00:00.000","2012","11","3","Medical/Rescue","75","2012-11-03Medical/Rescue"
"2012-12-22T00:00:00.000","2012","12","22","False Alarm","52","2012-12-22False Alarm"
"2013-04-18T00:00:00.000","2013","4","18","Hazardous Condition","19","2013-04-18Hazardous Condition"
"2013-06-10T00:00:00.000","2013","6","10","Public Service Assistance","9","2013-06-10Public Service Assistance"
"2013-08-18T00:00:00.000","2013","8","18","Fire","6","2013-08-18Fire"
"2013-11-15T00:00:00.000","2013","11","15","Hazardous Condition","34","2013-11-15Hazardous Condition"
"2014-06-29T00:00:00.000","2014","6","29","Public Service Assistance","11","2014-06-29Public Service Assistance"
"2014-07-19T00:00:00.000","2014","7","19","Investigation","13","2014-07-19Investigation"
"2010-07-23T00:00:00.000","2010","7","23","Public Service Assistance","13","2010-07-23Public Service Assistance"
"2010-09-02T00:00:00.000","2010","9","2","False Alarm","23","2010-09-02False Alarm"
"2011-06-28T00:00:00.000","2011","6","28","Medical/Rescue","82","2011-06-28Medical/Rescue"
"2013-01-17T00:00:00.000","2013","1","17","Hazardous Condition","13","2013-01-17Hazardous Condition"
"2013-05-10T00:00:00.000","2013","5","10","Investigation","22","2013-05-10Investigation"
"2013-07-29T00:00:00.000","2013","7","29","Hazardous Condition","20","2013-07-29Hazardous Condition"
"2013-11-09T00:00:00.000","2013","11","9","Hazardous Condition","19","2013-11-09Hazardous Condition"
"2014-01-12T00:00:00.000","2014","1","12","False Alarm","11","2014-01-12False Alarm"
"2014-02-21T00:00:00.000","2014","2","21","False Alarm","23","2014-02-21False Alarm"
"2014-07-14T00:00:00.000","2014","7","14","Public Service Assistance","11","2014-07-14Public Service Assistance"
"2010-04-01T00:00:00.000","2010","4","1","Investigation","21","2010-04-01Investigation"
"2010-09-08T00:00:00.000","2010","9","8","Fire","3","2010-09-08Fire"
"2011-03-05T00:00:00.000","2011","3","5","Hazardous Condition","25","2011-03-05Hazardous Condition"
"2011-04-05T00:00:00.000","2011","4","5","Public Service Assistance","5","2011-04-05Public Service Assistance"
"2011-06-07T00:00:00.000","2011","6","7","Public Service Assistance","10","2011-06-07Public Service Assistance"
"2011-07-08T00:00:00.000","2011","7","8","Medical/Rescue","62","2011-07-08Medical/Rescue"
"2011-11-18T00:00:00.000","2011","11","18","Medical/Rescue","66","2011-11-18Medical/Rescue"
"2012-05-22T00:00:00.000","2012","5","22","Medical/Rescue","71","2012-05-22Medical/Rescue"
"2012-08-22T00:00:00.000","2012","8","22","Investigation","14","2012-08-22Investigation"
"2013-01-30T00:00:00.000","2013","1","30","False Alarm","30","2013-01-30False Alarm"
"2013-06-11T00:00:00.000","2013","6","11","False Alarm","26","2013-06-11False Alarm"
"2014-01-01T00:00:00.000","2014","1","1","Public Service Assistance","4","2014-01-01Public Service Assistance"
"2014-03-13T00:00:00.000","2014","3","13","Hazardous Condition","22","2014-03-13Hazardous Condition"
"2014-06-21T00:00:00.000","2014","6","21","Hazardous Condition","19","2014-06-21Hazardous Condition"
"2014-09-04T00:00:00.000","2014","9","4","Medical/Rescue","64","2014-09-04Medical/Rescue"
"2014-11-17T00:00:00.000","2014","11","17","Fire","4","2014-11-17Fire"
"2010-09-08T00:00:00.000","2010","9","8","Severe Weather","1","2010-09-08Severe Weather"
"2012-02-20T00:00:00.000","2012","2","20","Public Service Assistance","7","2012-02-20Public Service Assistance"
